lens,filter,lambda_nm,Cdir,file
J0252,F390W,390,0.30526796164162373,data/J0252_multiband/F390W.fits
J0252,F606W,606,0.4576973065860517,data/J0252_multiband/F606W.fits
J0252,F814W,814,0.15795733071917528,data/J0252_multiband/F814W.fits
J0252,F160W,1600,0.8576883128016523,data/J0252_multiband/F160W.fits
J0737,F390W,390,0.02633274565436571,data/J0737_multiband_alt/F390W.fits
J0737,F435W,435,0.3154441972979796,data/J0737_multiband_alt/F435W.fits
J0737,F555W,555,0.010670993419862012,data/J0737_multiband_alt/F555W.fits
J0737,F814W,814,0.32103090018444375,data/J0737_multiband_alt/F814W.fits
J0903,F390W,390,0.02395650521166175,data/J0903_multiband/F390W.fits
J0903,F814W,814,0.25297238197559735,data/J0903_multiband/F814W.fits
J0912,F390W,390,0.5171200919520762,data/J0912_multiband/F390W.fits
J0912,F435W,435,0.41005181695894677,data/J0912_multiband/F435W.fits
J0912,F555W,555,0.3499123967153699,data/J0912_multiband/F555W.fits
J0912,F814W,814,0.32438259473986536,data/J0912_multiband/F814W.fits
J0956,F390W,390,0.024743204342155763,data/J0956_multiband/F390W.fits
J0956,F814W,814,0.196509931183762,data/J0956_multiband/F814W.fits
J0956,F160W,1600,0.10271507892505251,data/J0956_multiband/F160W.fits
J0959,F390W,390,0.026939360696450195,data/J0959_multiband/F390W.fits
J0959,F814W,814,0.36813364943623905,data/J0959_multiband/F814W.fits
J0959,F160W,1600,0.9387475623353326,data/J0959_multiband/F160W.fits
J1430,F390W,390,0.03352655082018857,data/J1430_multiband/F390W.fits
J1430,F814W,814,0.05482747853658387,data/J1430_multiband/F814W.fits
J1430,F160W,1600,0.3247149126014405,data/J1430_multiband/F160W.fits
J1627,F390W,390,0.322549891275712,data/j1627_multiband/F390W.fits
J1627,F435W,435,0.24748054841864467,data/j1627_multiband/F435W.fits
J1627,F555W,555,0.07162808761161425,data/j1627_multiband/F555W.fits
J1627,F814W,814,0.3718851763322001,data/j1627_multiband/F814W.fits
J1630,F390W,390,0.3137138047042764,data/J1630_multiband/F390W.fits
J1630,F435W,435,0.5844946079045041,data/J1630_multiband/F435W.fits
J1630,F555W,555,0.2561765525619835,data/J1630_multiband/F555W.fits
J1630,F814W,814,0.4022759424443062,data/J1630_multiband/F814W.fits
J2341,F390W,390,0.019197721504909192,data/J2341_multiband/F390W.fits
J2341,F814W,814,0.0705851021903472,data/J2341_multiband/F814W.fits
J2341,F160W,1600,0.9372863405216438,data/J2341_multiband/F160W.fits
MULTIBAND,F390W,390,0.07320242733691708,data/multiband/F390W.fits
MULTIBAND,F555W,555,0.9378935056114197,data/multiband/F555W.fits
MULTIBAND,F814W,814,0.9563372779790205,data/multiband/F814W.fits
