lambda_star_m,deltaB_FIRAS,deltaB_over_Bcmb,FIRAS_compatible_deltaB_lt_1e-5
1e-08,0.0,0.0,True
1.1233240329780265e-08,0.0,0.0,True
1.261856883066021e-08,0.0,0.0,True
1.4174741629268047e-08,0.0,0.0,True
1.592282793341094e-08,0.0,0.0,True
1.7886495290574353e-08,0.0,0.0,True
2.009233002565046e-08,0.0,0.0,True
2.2570197196339216e-08,0.0,0.0,True
2.5353644939701113e-08,0.0,0.0,True
2.848035868435799e-08,0.0,0.0,True
3.1992671377973846e-08,0.0,0.0,True
3.593813663804626e-08,0.0,0.0,True
4.037017258596558e-08,0.0,0.0,True
4.534878508128582e-08,0.0,0.0,True
5.094138014816375e-08,0.0,0.0,True
5.72236765935022e-08,0.0,0.0,True
6.42807311728432e-08,0.0,0.0,True
7.220809018385457e-08,0.0,0.0,True
8.111308307896873e-08,0.0,0.0,True
9.111627561154887e-08,0.0,0.0,True
1.0235310218990269e-07,0.0,0.0,True
1.1497569953977356e-07,0.0,0.0,True
1.2915496650148827e-07,0.0,0.0,True
1.45082877849594e-07,0.0,0.0,True
1.6297508346206436e-07,0.0,0.0,True
1.8307382802953697e-07,0.0,0.0,True
2.0565123083486514e-07,0.0,0.0,True
2.310129700083158e-07,0.0,0.0,True
2.5950242113997374e-07,0.0,0.0,True
2.915053062825176e-07,0.0,0.0,True
3.2745491628777317e-07,0.0,0.0,True
3.678379771828634e-07,0.0,0.0,True
4.1320124001153343e-07,0.0,0.0,True
4.641588833612782e-07,0.0,0.0,True
5.214008287999684e-07,0.0,0.0,True
5.857020818056673e-07,0.0,0.0,True
6.579332246575682e-07,0.0,0.0,True
7.390722033525775e-07,0.0,0.0,True
8.302175681319736e-07,0.0,0.0,True
9.326033468832199e-07,0.0,0.0,True
1.0476157527896663e-06,0.0,0.0,True
1.1768119524349991e-06,0.0,0.0,True
1.3219411484660288e-06,0.0,0.0,True
1.4849682622544636e-06,0.0,0.0,True
1.6681005372000591e-06,0.0,0.0,True
1.873817422860383e-06,0.0,0.0,True
2.104904144512022e-06,0.0,0.0,True
2.364489412645407e-06,0.0,0.0,True
2.656087782946684e-06,0.0,0.0,True
2.9836472402833405e-06,0.0,0.0,True
3.3516026509388406e-06,0.0,0.0,True
3.764935806792471e-06,0.0,0.0,True
4.229242874389499e-06,0.0,0.0,True
4.750810162102793e-06,0.0,0.0,True
5.336699231206302e-06,0.0,0.0,True
5.994842503189409e-06,0.0,0.0,True
6.7341506577508285e-06,0.0,0.0,True
7.564633275546291e-06,0.0,0.0,True
8.497534359086437e-06,0.0,0.0,True
9.545484566618328e-06,0.0,0.0,True
1.072267222010323e-05,0.0,0.0,True
1.2045035402587836e-05,0.0,0.0,True
1.3530477745798076e-05,1.3877787807814457e-17,1.8093595577333058e-16,True
1.5199110829529332e-05,4.0245584642661925e-16,5.247142717426587e-15,True
1.7073526474706886e-05,1.49741330446318e-14,1.952298962794237e-13,True
1.917910261672489e-05,3.7200797997627433e-13,4.8501692304599e-12,True
2.1544346900318867e-05,6.496608806472182e-12,8.470154897616925e-11,True
2.4201282647943835e-05,8.288036923431719e-11,1.080578477631254e-09,True
2.71858824273294e-05,7.995046291675578e-10,1.0423789167764768e-08,True
3.053855508833412e-05,6.013417527817033e-09,7.840179306149977e-08,True
3.4304692863149194e-05,3.6242418621768024e-08,4.7252175517298595e-07,True
3.8535285937105275e-05,1.793371375985453e-07,2.3381634628232764e-06,True
4.328761281083062e-05,7.445310682141493e-07,9.707054344382649e-06,True
4.8626015800653536e-05,2.643778093766591e-06,3.446907553802596e-05,True
5.462277217684337e-05,8.168605187514055e-06,0.00010650071952430319,True
6.135907273413163e-05,2.2298963035044528e-05,0.00029072963539823374,False
6.892612104349695e-05,5.451803476132222e-05,0.0007107957596000289,False
7.742636826811278e-05,0.00012082898220300287,0.0015753452699218105,False
8.697490026177834e-05,0.0002453900678475729,0.0031993489941013415,False
9.770099572992247e-05,0.00046106650994169607,0.006011297391677915,False
0.00010974987654930568,0.0008083498513248716,0.010539111490545913,False
0.0001232846739442066,0.001332495210934731,0.017372818917010834,False
0.00013848863713938718,0.0020792243200126737,0.0271085308997741,False
0.00015556761439304722,0.0030897452422877225,0.04028351032969651,False
0.0001747528400007683,0.004396009795198566,0.05731433892045066,False
0.00019630406500402724,0.006017036006116083,0.07844897009277814,False
0.00022051307399030456,0.007956833219095127,0.10373967691127936,False
0.0002477076355991709,0.010204098943788556,0.13303909965826016,False
0.0002782559402207126,0.012733521299758258,0.16601722685473608,False
0.00031257158496882353,0.015508290883693557,0.20219414450708678,False
0.0003511191734215127,0.0184833239830901,0.2409820597534563,False
0.0003944206059437656,0.02160870952960968,0.28173024158552384,False
0.00044306214575838776,0.024832978765244686,0.32376765013356823,False
0.0004977023564332114,0.028105919212360456,0.3664396246722354,False
0.0005590810182512223,0.031380779933098284,0.40913663537285894,False
0.0006280291441834246,0.034615820425390985,0.4513144775148759,False
0.0007054802310718645,0.03777522650509698,0.4925062125827507,False
0.0007924828983539169,0.04082944347311055,0.5323265120353396,False
0.0008902150854450393,0.04375495599916897,0.5704687874728679,False
0.001,0.04653348977025616,0.6066947818807843,False
