model,param1,value1,param2,value2,deltaB_FIRAS,deltaB_over_Bcmb,compatible
exponential,lambda_star_m,1e-08,,,0.0,0.0,True
exponential,lambda_star_m,1.1015819387358996e-08,,,0.0,0.0,True
exponential,lambda_star_m,1.2134827677491432e-08,,,0.0,0.0,True
exponential,lambda_star_m,1.3367506999197063e-08,,,0.0,0.0,True
exponential,lambda_star_m,1.4725404276241238e-08,,,0.0,0.0,True
exponential,lambda_star_m,1.6221239391291727e-08,,,0.0,0.0,True
exponential,lambda_star_m,1.7869024337358284e-08,,,0.0,0.0,True
exponential,lambda_star_m,1.9684194472866114e-08,,,0.0,0.0,True
exponential,lambda_star_m,2.168375310987433e-08,,,0.0,0.0,True
exponential,lambda_star_m,2.3886430789846005e-08,,,0.0,0.0,True
exponential,lambda_star_m,2.6312860738959445e-08,,,0.0,0.0,True
exponential,lambda_star_m,2.898577214651068e-08,,,0.0,0.0,True
exponential,lambda_star_m,3.193020307691027e-08,,,0.0,0.0,True
exponential,lambda_star_m,3.51737350096938e-08,,,0.0,0.0,True
exponential,lambda_star_m,3.874675120456128e-08,,,0.0,0.0,True
exponential,lambda_star_m,4.268272131163826e-08,,,0.0,0.0,True
exponential,lambda_star_m,4.701851489299856e-08,,,0.0,0.0,True
exponential,lambda_star_m,5.1794746792312124e-08,,,0.0,0.0,True
exponential,lambda_star_m,5.7056157587810205e-08,,,0.0,0.0,True
exponential,lambda_star_m,6.285203269240098e-08,,,0.0,0.0,True
exponential,lambda_star_m,6.923666402678735e-08,,,0.0,0.0,True
exponential,lambda_star_m,7.626985859023451e-08,,,0.0,0.0,True
exponential,lambda_star_m,8.401749869294344e-08,,,0.0,0.0,True
exponential,lambda_star_m,9.255215909791354e-08,,,0.0,0.0,True
exponential,lambda_star_m,1.0195378685327302e-07,,,0.0,0.0,True
exponential,lambda_star_m,1.1231045018329516e-07,,,0.0,0.0,True
exponential,lambda_star_m,1.2371916345321594e-07,,,0.0,0.0,True
exponential,lambda_star_m,1.3628679593557754e-07,,,0.0,0.0,True
exponential,lambda_star_m,1.5013107289081744e-07,,,0.0,0.0,True
exponential,lambda_star_m,1.6538167833956732e-07,,,0.0,0.0,True
exponential,lambda_star_m,1.8218146985669748e-07,,,0.0,0.0,True
exponential,lambda_star_m,2.0068781676649666e-07,,,0.0,0.0,True
exponential,lambda_star_m,2.210740742743128e-07,,,0.0,0.0,True
exponential,lambda_star_m,2.4353120734334173e-07,,,0.0,0.0,True
exponential,lambda_star_m,2.6826957952797275e-07,,,0.0,0.0,True
exponential,lambda_star_m,2.9552092352028877e-07,,,0.0,0.0,True
exponential,lambda_star_m,3.255405118685032e-07,,,0.0,0.0,True
exponential,lambda_star_m,3.586095482011829e-07,,,0.0,0.0,True
exponential,lambda_star_m,3.9503780135666407e-07,,,0.0,0.0,True
exponential,lambda_star_m,4.3516650709244203e-07,,,0.0,0.0,True
exponential,lambda_star_m,4.793715645558218e-07,,,0.0,0.0,True
exponential,lambda_star_m,5.280670574582637e-07,,,0.0,0.0,True
exponential,lambda_star_m,5.817091329374358e-07,,,0.0,0.0,True
exponential,lambda_star_m,6.40800274441601e-07,,,0.0,0.0,True
exponential,lambda_star_m,7.058940086618752e-07,,,0.0,0.0,True
exponential,lambda_star_m,7.776000906038043e-07,,,0.0,0.0,True
exponential,lambda_star_m,8.5659021536855e-07,,,0.0,0.0,True
exponential,lambda_star_m,9.43604310147889e-07,,,0.0,0.0,True
exponential,lambda_star_m,1.0394574653722626e-06,,,0.0,0.0,True
exponential,lambda_star_m,1.1450475699382812e-06,,,0.0,0.0,True
exponential,lambda_star_m,1.2613637220374423e-06,,,0.0,0.0,True
exponential,lambda_star_m,1.389495494373139e-06,,,0.0,0.0,True
exponential,lambda_star_m,1.5306431405563594e-06,,,0.0,0.0,True
exponential,lambda_star_m,1.6861288382868804e-06,,,0.0,0.0,True
exponential,lambda_star_m,1.8574090746385757e-06,,,0.0,0.0,True
exponential,lambda_star_m,2.046088289466015e-06,,,0.0,0.0,True
exponential,lambda_star_m,2.2539339047347933e-06,,,0.0,0.0,True
exponential,lambda_star_m,2.48289288056033e-06,,,0.0,0.0,True
exponential,lambda_star_m,2.7351099530412106e-06,,,0.0,0.0,True
exponential,lambda_star_m,3.012947724726992e-06,,,0.0,0.0,True
exponential,lambda_star_m,3.319008795914677e-06,,,0.0,0.0,True
exponential,lambda_star_m,3.656160144085194e-06,,,0.0,0.0,True
exponential,lambda_star_m,4.027559979850293e-06,,,0.0,0.0,True
exponential,lambda_star_m,4.436687330978616e-06,,,0.0,0.0,True
exponential,lambda_star_m,4.887374631624427e-06,,,0.0,0.0,True
exponential,lambda_star_m,5.383843622033489e-06,,,0.0,0.0,True
exponential,lambda_star_m,5.930744895010571e-06,,,0.0,0.0,True
exponential,lambda_star_m,6.5332014595937835e-06,,,0.0,0.0,True
exponential,lambda_star_m,7.196856730011529e-06,,,0.0,0.0,True
exponential,lambda_star_m,7.927927389450606e-06,,,0.0,0.0,True
exponential,lambda_star_m,8.733261623828437e-06,,,0.0,0.0,True
exponential,lambda_star_m,9.62040327106476e-06,,,0.0,0.0,True
exponential,lambda_star_m,1.0597662486760708e-05,,,0.0,0.0,True
exponential,lambda_star_m,1.1674193588234575e-05,,,0.0,0.0,True
exponential,lambda_star_m,1.2860080806105651e-05,,,0.0,0.0,True
exponential,lambda_star_m,1.4166432746690222e-05,,,2.7755575615628914e-17,3.6187191154666115e-16,True
exponential,lambda_star_m,1.560548645007075e-05,,,9.575673587391975e-16,1.2484580948359811e-14,True
exponential,lambda_star_m,1.7190722018585747e-05,,,1.827704654289164e-14,2.3829265375347637e-13,True
exponential,lambda_star_m,1.8936988889503642e-05,,,2.6662005936373134e-13,3.476141582317227e-12,True
exponential,lambda_star_m,2.086064493471961e-05,,,3.0379171400696237e-12,3.960778539856093e-11,True
exponential,lambda_star_m,2.297970969046965e-05,,,2.7657445778039857e-11,3.6059251340338795e-10,True
exponential,lambda_star_m,2.5314033152415697e-05,,,2.0539643597050627e-10,2.677919634556796e-09,True
exponential,lambda_star_m,2.7885481717262916e-05,,,1.267871210797189e-09,1.6530263504526583e-08,True
exponential,lambda_star_m,3.0718143012686965e-05,,,6.6170339624305186e-09,8.627162923638225e-08,True
exponential,lambda_star_m,3.383855153428233e-05,,,2.9653740046819976e-08,3.8661981808109486e-07,True
exponential,lambda_star_m,3.727593720314938e-05,,,1.1572455298203277e-07,1.5087946933772197e-06,True
exponential,lambda_star_m,4.1062499172443026e-05,,,3.983279754371516e-07,5.193324321214493e-06,True
exponential,lambda_star_m,4.5233707447721056e-05,,,1.2233589332666384e-06,1.5949920903085243e-05,True
exponential,lambda_star_m,4.982863514647306e-05,,,3.387892367381906e-06,4.41706957937667e-05,True
exponential,lambda_star_m,5.489032450921569e-05,,,8.541060772221387e-06,0.00011135672454004415,True
exponential,lambda_star_m,6.046619009070448e-05,,,1.977253152424252e-05,0.0002577905022717408,False
exponential,lambda_star_m,6.660846290809168e-05,,,4.2363893314370515e-05,0.0005523323769800588,False
exponential,lambda_star_m,7.337467970651388e-05,,,8.460821756869907e-05,0.0011031058353155028,False
exponential,lambda_star_m,8.082822192522722e-05,,,0.0001585354617606033,0.0020669551728892213,False
exponential,lambda_star_m,8.903890941296735e-05,,,0.00028034453646054447,0.0036550787022235263,False
exponential,lambda_star_m,9.808365445406671e-05,,,0.0004703580720963052,0.006132439010382075,False
exponential,lambda_star_m,0.00010804718223181286,,,0.0007523867165454556,0.009809474791987688,False
exponential,lambda_star_m,0.00011902282447787169,,,0.001152499390469422,0.015026067672352306,False
exponential,lambda_star_m,0.00013111339374215656,,,0.0016973139612122545,0.02212925633914282,False
exponential,lambda_star_m,0.00014443214647272818,,,0.0024120172397266576,0.03144742163920023,False
exponential,lambda_star_m,0.00015910384392721534,,,0.0033183714866430736,0.04326429578413394,False
exponential,lambda_star_m,0.00017526592085367583,,,0.00443295950353069,0.05779608218423324,False
exponential,lambda_star_m,0.00019306977288832537,,,0.0057658695001630705,0.07517430899821474,False
exponential,lambda_star_m,0.00021268217472962127,,,0.007319941600197319,0.09543600521769646,False
exponential,lambda_star_m,0.00023428684237322353,,,0.00909061036090214,0.11852164746938905,False
exponential,lambda_star_m,0.00025808615404180767,,,0.0110662995242551,0.14428030670476008,False
exponential,lambda_star_m,0.0002843030459302665,,,0.013229267752733045,0.1724806747422822,False
exponential,lambda_star_m,0.00031318310052438447,,,0.015556771823894783,0.20282622977698542,False
exponential,lambda_star_m,0.00034499684705497225,,,0.018022405405019655,0.23497269106935664,False
exponential,lambda_star_m,0.00038004229563658897,,,0.020597482138419644,0.2685460513483656,False
exponential,lambda_star_m,0.00041864772882899555,,,0.02325235479342195,0.30315977566391067,False
exponential,lambda_star_m,0.00046117477677082606,,,0.025957591235168387,0.3384301334441771,False
exponential,lambda_star_m,0.0005080218046913023,,,0.028684957599663115,0.3739890169447603,False
exponential,lambda_star_m,0.0005596276445319553,,,0.03140818551363134,0.4094939441151413,False
exponential,lambda_star_m,0.0006164757056337174,,,0.03410352091963933,0.44463521407613205,False
exponential,lambda_star_m,0.0006790985029955721,,,0.0367500652958499,0.4791403558780951,False
exponential,lambda_star_m,0.0007480826455225093,,,0.03932992439857039,0.5127760677779711,False
exponential,lambda_star_m,0.0008240743309893666,,,0.041828174508703506,0.5453477771669296,False
exponential,lambda_star_m,0.0009077853991937558,,,0.044232643436097,0.5766967853467666,False
exponential,lambda_star_m,0.001,,,0.04653348977025616,0.6066947818807843,False
