lens,band,file,date_obs,mjd,proposal,Cdir,n_pix
J0252,F390W,data/J0252_multiband/F390W.fits,2013-08-25,56529.82681131,12898,0.1409832043013928,7509
J0252,F814W,data/J0252_multiband/F814W.fits,2006-10-02,54010.79328889,10886,0.13865873594113537,7859
J0252,F160W,data/J0252_multiband/F160W.fits,2009-11-05,55140.50295548,11202,0.8093705675416286,7998
J2341,F390W,data/J2341_multiband/F390W.fits,2013-06-05,56440.2635802,12898,0.009895341953364943,7488
J2341,F814W,data/J2341_multiband/F814W.fits,2006-08-24,53971.68184134,10886,0.1967987290823663,7402
J2341,F160W,data/J2341_multiband/F160W.fits,2008-07-20,54667.8993134,11202,0.8444456174344034,7604
J0959,F390W,data/J0959_multiband/F390W.fits,2013-06-07,56450.17614983,12898,0.005697957305826051,7489
J0959,F814W,data/J0959_multiband/F814W.fits,2004-10-19,53297.89284684,10174,0.3400426199001452,7523
J0959,F160W,data/J0959_multiband/F160W.fits,2005-11-07,53681.79583127,10494,0.8683981599537658,7173
J1430,F390W,data/J1430_multiband/F390W.fits,2013-05-05,56414.97956369,12898,0.019096699704922768,7424
J1430,F814W,data/J1430_multiband/F814W.fits,2006-12-18,54087.09899631,10886,0.03240331359644454,7553
J1430,F160W,data/J1430_multiband/F160W.fits,2010-07-10,55387.46066889,11202,0.1925158163802838,7488
J1627,F390W,data/j1627_multiband/F390W.fits,2013-06-16,56459.63097612,12898,0.1795930887440381,7345
J1627,F814W,data/j1627_multiband/F814W.fits,2005-03-20,53449.96214165,10174,0.22819267725411532,7301
J0912,F390W,data/J0912_multiband/F390W.fits,2013-05-07,56419.69124184,12898,0.4339447941176529,7516
J0912,F814W,data/J0912_multiband/F814W.fits,2004-10-12,53290.96167635,10174,0.10572738899020781,7563
J0737,F390W,data/J0737_multiband_alt/F390W.fits,2013-01-27,56318.57429487,12898,0.003772278385983432,7542
J0737,F814W,data/J0737_multiband_alt/F814W.fits,2004-09-21,53269.22543779,10174,0.15328314279629915,7395
J0956,F390W,data/J0956_multiband/F390W.fits,2013-09-16,56551.0411638,12898,0.040809118711755805,7534
J0956,F814W,data/J0956_multiband/F814W.fits,2004-10-30,53308.6841198,10174,0.05754671876818062,7371
J0956,F160W,data/J0956_multiband/F160W.fits,2006-11-01,54040.91438443,10494,0.07991767711872046,7169
