name,z,DM_obs,DM_MW,DM_halo,DM_excess,DM_macquart,DM_residual,z2
FRB20121102A,0.19273,557.0,188.0,50,319.0,192.73000000000002,126.26999999999998,0.037144852900000004
FRB20180916B,0.0337,348.8,200.0,50,98.80000000000001,33.7,65.10000000000001,0.00113569
FRB20180924B,0.3214,361.42,40.5,50,270.92,321.40000000000003,-50.48000000000002,0.10329796000000001
FRB20181112A,0.4755,589.27,102.0,50,437.27,475.5,-38.23000000000002,0.22610024999999997
FRB20190102C,0.291,363.6,57.3,50,256.3,291.0,-34.69999999999999,0.08468099999999999
FRB20190523A,0.66,760.8,37.0,50,673.8,660.0,13.799999999999955,0.43560000000000004
FRB20190608B,0.1178,339.5,37.2,50,252.3,117.8,134.5,0.01387684
FRB20190611B,0.378,321.4,57.8,50,213.59999999999997,378.0,-164.40000000000003,0.142884
FRB20190711A,0.522,593.1,56.4,50,486.70000000000005,522.0,-35.299999999999955,0.272484
FRB20191001A,0.234,507.9,44.2,50,413.7,234.0,179.7,0.054756000000000006
FRB20200430A,0.1608,380.1,27.0,50,303.1,160.8,142.3,0.02585664
FRB20200906A,0.3688,577.8,36.0,50,491.79999999999995,368.8,122.99999999999994,0.13601344
FRB20201124A,0.098,413.5,123.2,50,240.3,98.0,142.3,0.009604000000000001
FRB20210405I,0.066,565.17,25.0,50,490.16999999999996,66.0,424.16999999999996,0.0043560000000000005
