target,obs_id,instrument,filter,mjd,proposal
J0252,hst_10886_04_acs_wfc_f814w_j9op04,ACS/WFC,F814W,54010.79328889,10886
J0252,hst_11202_19_wfpc2_pc_f606w_ua1l19,WFPC2/PC,F606W,54370.27241928,11202
J0252,hst_11202_s3_wfc3_ir_f160w_ia1ls3,WFC3/IR,F160W,55140.50295548,11202
J0252,hst_12898_01_wfc3_uvis_f390w_ibzi01,WFC3/UVIS,F390W,56529.16487834,12898
J0252,hst_12898_02_wfc3_uvis_f390w_ibzi02,WFC3/UVIS,F390W,56529.82681131,12898
J0252,hst_skycell-p1333x14y05_acs_wfc_f814w_all,ACS/WFC,F814W,54010.79328889,--
J0252,hst_skycell-p1333x14y05_wfc3_ir_f160w_all,WFC3/IR,F160W,55140.50295548,--
J0252,hst_skycell-p1333x14y05_wfc3_ir_f160w_coarse-all,WFC3/IR,F160W,55140.50295548,--
J0252,hst_skycell-p1333x14y05_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56529.16487834,--
J0252,ia1ls3010,WFC3/IR,F160W,55140.502955474534,11202
J0252,j9op04010,ACS/WFC,F814W,54010.79328888889,10886
J0252,na1l73010,NICMOS/NIC2,F160W,54694.48331809028,11202
J0252,ibzi01010,WFC3/UVIS,F390W,56529.16487835648,12898
J0252,ibzi02010,WFC3/UVIS,F390W,56529.826811307874,12898
J0252,ic7479010,WFC3/UVIS,F390W,56529.253292789355,13076
J0252,ua1l1903m,WFPC2/PC,F606W,54370.404363738424,11202
J0252,ua1l1902m,WFPC2/PC,F606W,54370.33769707176,11202
J0252,ua1l1904m,WFPC2/PC,F606W,54370.47103040509,11202
J0252,ua1l1901m,WFPC2/PC,F606W,54370.27241929398,11202
J0737,hst_10174_40_acs_wfc_f435w_j93i40,ACS/WFC,F435W,53269.21874704,10174
J0737,hst_10174_40_acs_wfc_f814w_j93i40,ACS/WFC,F814W,53269.22543779,10174
J0737,hst_10494_03_acs_wfc_f555w_j9c703,ACS/WFC,F555W,54044.77708535,10494
J0737,hst_10494_03_acs_wfc_f814w_j9c703,ACS/WFC,F814W,54044.8417035,10494
J0737,hst_12898_03_wfc3_uvis_f390w_ibzi03,WFC3/UVIS,F390W,56318.57429487,12898
J0737,hst_12898_04_wfc3_uvis_f390w_ibzi04,WFC3/UVIS,F390W,56319.05692228,12898
J0737,hst_skycell-p2033x09y04_acs_wfc_f435w_all,ACS/WFC,F435W,53269.21874704,--
J0737,hst_skycell-p2033x09y04_acs_wfc_f555w_all,ACS/WFC,F555W,54044.77708535,--
J0737,hst_skycell-p2033x09y04_acs_wfc_f814w_all,ACS/WFC,F814W,53269.22543779,--
J0737,hst_skycell-p2033x09y04_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56318.57429487,--
J0737,j9c703010,ACS/WFC,F555W,54044.77708533565,10494
J0737,j9c703020,ACS/WFC,F814W,54044.84170350694,10494
J0737,n9c7a3010,NICMOS/NIC2,F160W,54044.90766204,10494
J0737,hst_skycell-p1955x09y20_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56318.57429487,--
J0737,hst_skycell-p1955x09y20_acs_wfc_f555w_all,ACS/WFC,F555W,54044.77708535,--
J0737,hst_skycell-p1955x09y20_acs_wfc_f814w_all,ACS/WFC,F814W,53269.22543779,--
J0737,hst_skycell-p1955x09y20_acs_wfc_f435w_all,ACS/WFC,F435W,53269.21874704,--
J0737,hst_skycell-p2033x08y04_acs_wfc_f555w_all,ACS/WFC,F555W,54044.77708535,--
J0737,hst_skycell-p2033x08y04_acs_wfc_f435w_all,ACS/WFC,F435W,53269.21874704,--
J0737,hst_skycell-p2033x08y04_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56318.57429487,--
J0737,hst_skycell-p2033x08y04_acs_wfc_f814w_all,ACS/WFC,F814W,53269.22543779,--
J0737,ibzi03010,WFC3/UVIS,F390W,56318.574294872684,12898
J0737,ibzi04010,WFC3/UVIS,F390W,56319.05692230324,12898
J0737,j93i40gyq,ACS/WFC,F435W,53269.218747025465,10174
J0737,j93i40gzq,ACS/WFC,F814W,53269.2254378125,10174
J0737,hst_skycell-p1955x10y20_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56318.57429487,--
J0903,hst_10886_10_acs_wfc_f814w_j9op10,ACS/WFC,F814W,54017.07044185,10886
J0903,hst_11202_25_wfpc2_pc_f606w_ua1l25,WFPC2/PC,F606W,54386.87797516,11202
J0903,hst_11202_79_wfc3_ir_f160w_ia1l79,WFC3/IR,F160W,55154.83611533,11202
J0903,hst_12898_05_wfc3_uvis_f390w_ibzi05,WFC3/UVIS,F390W,56371.5066917,12898
J0903,hst_12898_06_wfc3_uvis_f390w_ibzi06,WFC3/UVIS,F390W,56371.62171503,12898
J0903,hst_12898_07_wfc3_uvis_f390w_ibzi07,WFC3/UVIS,F390W,56372.50365948,12898
J0903,hst_12898_08_wfc3_uvis_f390w_ibzi08,WFC3/UVIS,F390W,56372.61846281,12898
J0903,hst_12898_09_wfc3_uvis_f390w_ibzi09,WFC3/UVIS,F390W,56372.68637948,12898
J0903,hst_12898_10_wfc3_uvis_f390w_ibzi10,WFC3/UVIS,F390W,56372.76168022,12898
J0903,hst_skycell-p2183x17y08_acs_wfc_f814w_all,ACS/WFC,F814W,54017.07044185,--
J0903,hst_skycell-p2183x17y08_wfc3_ir_f160w_all,WFC3/IR,F160W,55154.83611533,--
J0903,hst_skycell-p2183x17y08_wfc3_ir_f160w_coarse-all,WFC3/IR,F160W,55154.83611533,--
J0903,hst_skycell-p2183x17y08_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56371.5066917,--
J0903,ia1l79010,WFC3/IR,F160W,55154.8361153588,11202
J0903,j9op10010,ACS/WFC,F814W,54017.07044186343,10886
J0903,ibzi05010,WFC3/UVIS,F390W,56371.50669170139,12898
J0903,ibzi06010,WFC3/UVIS,F390W,56371.6217150463,12898
J0903,ibzi07010,WFC3/UVIS,F390W,56372.50365949074,12898
J0903,ibzi08010,WFC3/UVIS,F390W,56372.6184628125,12898
J0903,ibzi09010,WFC3/UVIS,F390W,56372.686379479164,12898
J0903,ibzi10010,WFC3/UVIS,F390W,56372.761680208336,12898
J0903,ic6x7n010,WFC3/UVIS,F390W,56372.84023356481,13075
J0903,ua1l2503m,WFPC2/PC,F606W,54386.94186403935,11202
J0903,ua1l2502m,WFPC2/PC,F606W,54386.89464181713,11202
J0903,ua1l2504m,WFPC2/PC,F606W,54386.95853070602,11202
J0903,ua1l2501m,WFPC2/PC,F606W,54386.87797515046,11202
J0903,j9i3n0010,ACS/WFC,CLEAR1L;F435W,54017.02277962963,10733
J0912,hst_10174_43_acs_wfc_f435w_j93i43,ACS/WFC,F435W,53290.95498237,10174
J0912,hst_10174_43_acs_wfc_f814w_j93i43,ACS/WFC,F814W,53290.96167635,10174
J0912,hst_10494_02_acs_wfc_f555w_j9c702,ACS/WFC,F555W,53679.34702019,10494
J0912,hst_10494_02_acs_wfc_f814w_j9c702,ACS/WFC,F814W,53679.46141834,10494
J0912,hst_10494_52_acs_wfc_f555w_j9c752,ACS/WFC,F555W,54064.52007214,10494
J0912,hst_10494_52_acs_wfc_f814w_j9c752,ACS/WFC,F814W,54064.58818547,10494
J0912,hst_12898_11_wfc3_uvis_f390w_ibzi11,WFC3/UVIS,F390W,56428.11067443,12898
J0912,hst_12898_12_wfc3_uvis_f390w_ibzi12,WFC3/UVIS,F390W,56428.3100148,12898
J0912,hst_12898_13_wfc3_uvis_f390w_ibzi13,WFC3/UVIS,F390W,56419.69124184,12898
J0912,hst_12898_14_wfc3_uvis_f390w_ibzi14,WFC3/UVIS,F390W,56429.3067511,12898
J0912,hst_12898_15_wfc3_uvis_f390w_ibzi15,WFC3/UVIS,F390W,56429.37319776,12898
J0912,hst_skycell-p1356x02y05_acs_wfc_f555w_all,ACS/WFC,F555W,54064.52007214,--
J0912,hst_skycell-p1356x02y05_acs_wfc_f814w_all,ACS/WFC,F814W,54064.58818547,--
