intentType,obs_collection,provenance_name,instrument_name,project,filters,wave_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,wavelength_region,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,objID,wave_min,wave_max
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J025245.21+003958.3,GALAXY;GRAVITATIONAL LENS,ibzi01010,43.18841666667,0.6661944444444,image,"Koopmans, Leon",3,56529.16487835648,56529.19522554398,2276.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56894.33084485,12898,GO,--,POLYGON 43.16402044 0.69776889 43.1475013 0.65554654 43.16910581 0.64862438 43.169115796328356 0.64864990463855543 43.16915782 0.64863644 43.18567712 0.69085872 43.16407245 0.69778095 43.164062463679684 0.69775542555257419 43.16402044 0.69776889 43.16402044 0.69776889,mast:HST/product/ibzi01010_drz.jpg,mast:HST/product/ibzi01010_drz.fits,PUBLIC,False,,24808067,923863017,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J090315.19+411609.2,GALAXY;GRAVITATIONAL LENS,ibzi05010,135.8132916667,41.26922222222,image,"Koopmans, Leon",3,56371.50669170139,56371.56864780092,2272.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56737.61795127,12898,GO,--,POLYGON 135.84657043 41.26174448 135.84651269697872 41.261737130739782 135.84650761 41.26175342 135.7870469 41.25416807 135.78705524632656 41.2541414226316 135.78703348 41.25413864 135.79394723 41.23205741 135.79400495545181 41.232064788610728 135.79401006 41.23204848 135.85345145 41.23963028 135.85344313338345 41.239656929567012 135.8534649 41.2396597 135.84657043 41.26174448 135.84657043 41.26174448,mast:HST/product/ibzi05010_drz.jpg,mast:HST/product/ibzi05010_drz.fits,PUBLIC,False,,24808071,923905841,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J025245.21+003958.3,GALAXY;GRAVITATIONAL LENS,ibzi02010,43.18841666667,0.6661944444444,image,"Koopmans, Leon",3,56529.826811307874,56529.857737384256,2276.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56895.01148147,12898,GO,--,POLYGON 43.16402044 0.69776889 43.1475013 0.65554654 43.147527376596734 0.65553818503525174 43.147521329999996 0.65552273 43.16912584 0.64860057 43.169141872934432 0.64864154953630582 43.16915782 0.64863644 43.18567712 0.69085872 43.185651052181093 0.69086707231374855 43.1856571 0.69088253 43.16405242 0.69780476 43.164036386987412 0.69776378056231469 43.16402044 0.69776889 43.16402044 0.69776889,mast:HST/product/ibzi02010_drz.jpg,mast:HST/product/ibzi02010_drz.fits,PUBLIC,False,,24808068,923905842,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J090315.19+411609.2,GALAXY;GRAVITATIONAL LENS,ibzi06010,135.8132916667,41.26922222222,image,"Koopmans, Leon",3,56371.6217150463,56371.652594444444,2272.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56737.13439807,12898,GO,--,POLYGON 135.84657043 41.26174448 135.84651269697872 41.261737130739782 135.84650761 41.26175342 135.7870469 41.25416807 135.78705524632656 41.2541414226316 135.78703348 41.25413864 135.79394723 41.23205741 135.79400495545181 41.232064788610728 135.79401006 41.23204848 135.85345145 41.23963028 135.85344313338345 41.239656929567012 135.8534649 41.2396597 135.84657043 41.26174448 135.84657043 41.26174448,mast:HST/product/ibzi06010_drz.jpg,mast:HST/product/ibzi06010_drz.fits,PUBLIC,False,,24808072,923905847,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J073728.44+321618.6,GALAXY;GRAVITATIONAL LENS,ibzi03010,114.3685,32.27183333333,image,"Koopmans, Leon",3,56318.574294872684,56318.605035416665,2260.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56683.70541655,12898,GO,--,POLYGON 114.33915837 32.27125068 114.3391458330136 32.271225402636354 114.33912829 32.27123275 114.3287549 32.25031238 114.32880147579186 32.250292873363762 114.32879383 32.25027745 114.37682412 32.23014803 114.37683665115968 32.230173282220328 114.37685423 32.23016591 114.38723641 32.25108235 114.38718979003789 32.251101901734714 114.38719745 32.25111733 114.33915837 32.27125068 114.33915837 32.27125068,mast:HST/product/ibzi03010_drz.jpg,mast:HST/product/ibzi03010_drz.fits,PUBLIC,False,,24808069,923905848,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J073728.44+321618.6,GALAXY;GRAVITATIONAL LENS,ibzi04010,114.3685,32.27183333333,image,"Koopmans, Leon",3,56319.05692230324,56319.13279024306,2260.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56684.27578699,12898,GO,--,POLYGON 114.33915837 32.27125068 114.3391458330136 32.271225402636354 114.33912829 32.27123275 114.3287549 32.25031238 114.32880147579186 32.250292873363762 114.32879383 32.25027745 114.37682412 32.23014803 114.37683665115968 32.230173282220328 114.37685423 32.23016591 114.38723641 32.25108235 114.38718979003789 32.251101901734714 114.38719745 32.25111733 114.33915837 32.27125068 114.33915837 32.27125068,mast:HST/product/ibzi04010_drz.jpg,mast:HST/product/ibzi04010_drz.fits,PUBLIC,False,,24808070,923905851,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J090315.19+411609.2,GALAXY;GRAVITATIONAL LENS,ibzi07010,135.8132916667,41.26922222222,image,"Koopmans, Leon",3,56372.50365949074,56372.56540706019,2272.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56737.69102997,12898,GO,--,POLYGON 135.84657043 41.26174448 135.84651269697872 41.261737130739782 135.84650761 41.26175342 135.7870469 41.25416807 135.78705524632656 41.2541414226316 135.78703348 41.25413864 135.79394723 41.23205741 135.79400495545181 41.232064788610728 135.79401006 41.23204848 135.85345145 41.23963028 135.85344313338345 41.239656929567012 135.8534649 41.2396597 135.84657043 41.26174448 135.84657043 41.26174448,mast:HST/product/ibzi07010_drz.jpg,mast:HST/product/ibzi07010_drz.fits,PUBLIC,False,,24808073,923906035,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J090315.19+411609.2,GALAXY;GRAVITATIONAL LENS,ibzi08010,135.8132916667,41.26922222222,image,"Koopmans, Leon",3,56372.6184628125,56372.64934224537,2272.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56737.90848376,12898,GO,--,POLYGON 135.84657043 41.26174448 135.84651269697872 41.261737130739782 135.84650761 41.26175342 135.7870469 41.25416807 135.78705524632656 41.2541414226316 135.78703348 41.25413864 135.79394723 41.23205741 135.79400495545181 41.232064788610728 135.79401006 41.23204848 135.85345145 41.23963028 135.85344313338345 41.239656929567012 135.8534649 41.2396597 135.84657043 41.26174448 135.84657043 41.26174448,mast:HST/product/ibzi08010_drz.jpg,mast:HST/product/ibzi08010_drz.fits,PUBLIC,False,,24808074,923906062,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J090315.19+411609.2,GALAXY;GRAVITATIONAL LENS,ibzi09010,135.8132916667,41.26922222222,image,"Koopmans, Leon",3,56372.686379479164,56372.71725891204,2272.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56737.85440965,12898,GO,--,POLYGON 135.84657043 41.26174448 135.84651269697872 41.261737130739782 135.84650761 41.26175342 135.7870469 41.25416807 135.78705524632656 41.2541414226316 135.78703348 41.25413864 135.79394723 41.23205741 135.79400495545181 41.232064788610728 135.79401006 41.23204848 135.85345145 41.23963028 135.85344313338345 41.239656929567012 135.8534649 41.2396597 135.84657043 41.26174448 135.84657043 41.26174448,mast:HST/product/ibzi09010_drz.jpg,mast:HST/product/ibzi09010_drz.fits,PUBLIC,False,,24808075,923906103,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J090315.19+411609.2,GALAXY;GRAVITATIONAL LENS,ibzi10010,135.8132916667,41.26922222222,image,"Koopmans, Leon",3,56372.761680208336,56372.83073113426,2272.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56738.04234957,12898,GO,--,POLYGON 135.84657043 41.26174448 135.84651269697872 41.261737130739782 135.84650761 41.26175342 135.7870469 41.25416807 135.78705524632656 41.2541414226316 135.78703348 41.25413864 135.79394723 41.23205741 135.79400495545181 41.232064788610728 135.79401006 41.23204848 135.85345145 41.23963028 135.85344313338345 41.239656929567012 135.8534649 41.2396597 135.84657043 41.26174448 135.84657043 41.26174448,mast:HST/product/ibzi10010_drz.jpg,mast:HST/product/ibzi10010_drz.fits,PUBLIC,False,,24808076,923906107,331.2,443.0
