short,base_name,target_name,obs_id,proposal_id,filters,instrument,t_exptime,dataURL
J0903,SDSS-J090315.19+411609.2,SDSSJ0903+4116,hst_10886_10_acs_wfc_f814w_j9op10,10886,F814W,ACS/WFC,2128.0,mast:HST/product/hst_10886_10_acs_wfc_f814w_j9op10_drc.fits
J0903,SDSS-J090315.19+411609.2,SDSSJ0903+4116,hst_11202_25_wfpc2_pc_f606w_ua1l25,11202,F606W,WFPC2/PC,4400.0,mast:HST/product/hst_11202_25_wfpc2_pc_f606w_ua1l25_drz.fits
J0903,SDSS-J090315.19+411609.2,SDSSJ0903+4116,hst_11202_79_wfc3_ir_f160w_ia1l79,11202,F160W,WFC3/IR,2396.926268,mast:HST/product/hst_11202_79_wfc3_ir_f160w_ia1l79_drz.fits
J0903,SDSS-J090315.19+411609.2,SDSS-J090315.19+411609.2,hst_12898_05_wfc3_uvis_f390w_ibzi05,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_05_wfc3_uvis_f390w_ibzi05_drc.fits
J0903,SDSS-J090315.19+411609.2,SDSS-J090315.19+411609.2,hst_12898_06_wfc3_uvis_f390w_ibzi06,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_06_wfc3_uvis_f390w_ibzi06_drc.fits
J0903,SDSS-J090315.19+411609.2,SDSS-J090315.19+411609.2,hst_12898_07_wfc3_uvis_f390w_ibzi07,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_07_wfc3_uvis_f390w_ibzi07_drc.fits
J0903,SDSS-J090315.19+411609.2,SDSS-J090315.19+411609.2,hst_12898_08_wfc3_uvis_f390w_ibzi08,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_08_wfc3_uvis_f390w_ibzi08_drc.fits
J0903,SDSS-J090315.19+411609.2,SDSS-J090315.19+411609.2,hst_12898_09_wfc3_uvis_f390w_ibzi09,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_09_wfc3_uvis_f390w_ibzi09_drc.fits
J0903,SDSS-J090315.19+411609.2,SDSS-J090315.19+411609.2,hst_12898_10_wfc3_uvis_f390w_ibzi10,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_10_wfc3_uvis_f390w_ibzi10_drc.fits
J0903,SDSS-J090315.19+411609.2,SDSSJ0903+4116,hst_skycell-p2183x17y08_acs_wfc_f814w_all,--,F814W,ACS/WFC,2128.0,mast:HST/product/hst_skycell-p2183x17y08_acs_wfc_f814w_all_drc.fits
J0903,SDSS-J090315.19+411609.2,SDSSJ0903+4116,hst_skycell-p2183x17y08_wfc3_ir_f160w_all,--,F160W,WFC3/IR,2396.926268,mast:HST/product/hst_skycell-p2183x17y08_wfc3_ir_f160w_all_drz.fits
J0903,SDSS-J090315.19+411609.2,SDSSJ0903+4116,hst_skycell-p2183x17y08_wfc3_ir_f160w_coarse-all,--,F160W,WFC3/IR,2396.926268,mast:HST/product/hst_skycell-p2183x17y08_wfc3_ir_f160w_coarse-all_drz.fits
J0903,SDSS-J090315.19+411609.2,SDSS-J090315.19+411609.2,hst_skycell-p2183x17y08_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,13632.0,mast:HST/product/hst_skycell-p2183x17y08_wfc3_uvis_f390w_all_drc.fits
J0903,SDSS-J090315.19+411609.2,SDSSJ0903+4116,ia1l79010,11202,F160W,WFC3/IR,2396.926268,mast:HST/product/ia1l79010_drz.fits
J0903,SDSS-J090315.19+411609.2,SDSSJ0903+4116,j9op10010,10886,F814W,ACS/WFC,2128.0,mast:HST/product/j9op10010_drz.fits
J0903,SDSS-J090315.19+411609.2,SDSSJ0903+4116,hst_10886_10_acs_wfc_f814w,10886,F814W,ACS/WFC,2128.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_10886_10_acs_wfc_f814w_drz.fits
J0903,SDSS-J090315.19+411609.2,SDSSJ0903+4116,hst_11202_25_wfpc2_f606w_wf,11202,F606W,WFPC2/WFC,4400.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_11202_25_wfpc2_f606w_wf_drz.fits
J0903,SDSS-J090315.19+411609.2,SDSSJ0903+4116,hst_11202_79_wfc3_ir_f160w,11202,F160W,WFC3/IR,2396.928,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_11202_79_wfc3_ir_f160w_drz.fits
J0903,SDSS-J090315.19+411609.2,SDSS-J090315.19+411609.2,hst_12898_05_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,2272.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_12898_05_wfc3_uvis_f390w_drz.fits
J0903,SDSS-J090315.19+411609.2,SDSS-J090315.19+411609.2,hst_12898_06_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,2272.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_12898_06_wfc3_uvis_f390w_drz.fits
J0903,SDSS-J090315.19+411609.2,SDSS-J090315.19+411609.2,hst_12898_07_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,2272.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_12898_07_wfc3_uvis_f390w_drz.fits
