lens,filter,obs_id,instrument,t_exptime,dataURL
J0903,F390W,hst_skycell-p2183x17y08_wfc3_uvis_f390w_all,WFC3/UVIS,13632.0,mast:HST/product/hst_skycell-p2183x17y08_wfc3_uvis_f390w_all_drc.fits
J0903,F814W,hst_skycell-p2183x17y08_acs_wfc_f814w_all,ACS/WFC,2128.0,mast:HST/product/hst_skycell-p2183x17y08_acs_wfc_f814w_all_drc.fits
J0903,F160W,hst_skycell-p2183x17y08_wfc3_ir_f160w_all,WFC3/IR,2396.926268,mast:HST/product/hst_skycell-p2183x17y08_wfc3_ir_f160w_all_drz.fits
J0956,F390W,hst_skycell-p2314x13y15_wfc3_uvis_f390w_all,WFC3/UVIS,4584.0,mast:HST/product/hst_skycell-p2314x13y15_wfc3_uvis_f390w_all_drc.fits
J0956,F814W,hst_skycell-p2314x13y15_acs_wfc_f814w_all,ACS/WFC,2860.0,mast:HST/product/hst_skycell-p2314x13y15_acs_wfc_f814w_all_drc.fits
J0956,F160W,n9c7b4010,NICMOS/NIC2,2815.948975,mast:HST/product/n9c7b4010_mos.fits
J0959,F390W,hst_skycell-p1359x03y20_wfc3_uvis_f390w_all,WFC3/UVIS,2276.0,mast:HST/product/hst_skycell-p1359x03y20_wfc3_uvis_f390w_all_drc.fits
J0959,F814W,hst_skycell-p1449x10y03_acs_wfc_f814w_all,ACS/WFC,2644.0,mast:HST/product/hst_skycell-p1449x10y03_acs_wfc_f814w_all_drc.fits
J0959,F160W,HST_10494_a4_NIC_NIC2_F160W,NICMOS/NIC2,2559.76,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_10494_a4_NIC_NIC2_F160W_drz.fits
J1430,F390W,hst_skycell-p2198x10y07_wfc3_uvis_f390w_all,WFC3/UVIS,4544.0,mast:HST/product/hst_skycell-p2198x10y07_wfc3_uvis_f390w_all_drc.fits
J1430,F814W,hst_skycell-p2198x10y07_acs_wfc_f814w_all,ACS/WFC,1596.0,mast:HST/product/hst_skycell-p2198x10y07_acs_wfc_f814w_all_drc.fits
J1430,F160W,hst_skycell-p2198x10y07_wfc3_ir_f160w_all,WFC3/IR,2396.926268,mast:HST/product/hst_skycell-p2198x10y07_wfc3_ir_f160w_all_drz.fits
J2341,F390W,hst_skycell-p1321x14y19_wfc3_uvis_f390w_all,WFC3/UVIS,4552.0,mast:HST/product/hst_skycell-p1321x14y19_wfc3_uvis_f390w_all_drc.fits
J2341,F814W,hst_skycell-p1321x14y19_acs_wfc_f814w_all,ACS/WFC,2088.0,mast:HST/product/hst_skycell-p1321x14y19_acs_wfc_f814w_all_drc.fits
J2341,F160W,HST_11202_0g_NIC_NIC2_F160W,NICMOS/NIC2,2559.88,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_11202_0g_NIC_NIC2_F160W_drz.fits
