target,obs_id,proposal_id,filters,instrument,t_exptime,dataURL
SDSS-J090315.19+411609.2,hst_skycell-p2183x17y08_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,13632.0,mast:HST/product/hst_skycell-p2183x17y08_wfc3_uvis_f390w_all_drc.fits
SDSS-J090315.19+411609.2,ibzi05010,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/ibzi05010_drz.fits
SDSS-J090315.19+411609.2,ibzi06010,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/ibzi06010_drz.fits
SDSS-J090315.19+411609.2,ibzi07010,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/ibzi07010_drz.fits
SDSS-J090315.19+411609.2,ibzi08010,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/ibzi08010_drz.fits
SDSS-J090315.19+411609.2,ibzi09010,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/ibzi09010_drz.fits
SDSS-J090315.19+411609.2,ibzi10010,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/ibzi10010_drz.fits
SDSS-J090315.19+411609.2,hst_12898_08_wfc3_uvis_f390w_ibzi08,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_08_wfc3_uvis_f390w_ibzi08_drc.fits
SDSS-J090315.19+411609.2,hst_12898_05_wfc3_uvis_f390w_ibzi05,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_05_wfc3_uvis_f390w_ibzi05_drc.fits
SDSS-J090315.19+411609.2,hst_12898_06_wfc3_uvis_f390w_ibzi06,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_06_wfc3_uvis_f390w_ibzi06_drc.fits
SDSS-J090315.19+411609.2,hst_12898_10_wfc3_uvis_f390w_ibzi10,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_10_wfc3_uvis_f390w_ibzi10_drc.fits
SDSS-J090315.19+411609.2,hst_12898_07_wfc3_uvis_f390w_ibzi07,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_07_wfc3_uvis_f390w_ibzi07_drc.fits
SDSS-J090315.19+411609.2,hst_12898_09_wfc3_uvis_f390w_ibzi09,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_09_wfc3_uvis_f390w_ibzi09_drc.fits
SDSS-J095629.78+510006.6,hst_skycell-p2314x13y15_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,4584.0,mast:HST/product/hst_skycell-p2314x13y15_wfc3_uvis_f390w_all_drc.fits
SDSS-J095629.78+510006.6,ibzi16010,12898,F390W,WFC3/UVIS,2292.0,mast:HST/product/ibzi16010_drz.fits
SDSS-J095629.78+510006.6,ibzi17010,12898,F390W,WFC3/UVIS,2292.0,mast:HST/product/ibzi17010_drz.fits
SDSS-J095629.78+510006.6,hst_12898_16_wfc3_uvis_f390w_ibzi16,12898,F390W,WFC3/UVIS,2292.0,mast:HST/product/hst_12898_16_wfc3_uvis_f390w_ibzi16_drc.fits
SDSS-J095629.78+510006.6,hst_12898_17_wfc3_uvis_f390w_ibzi17,12898,F390W,WFC3/UVIS,2292.0,mast:HST/product/hst_12898_17_wfc3_uvis_f390w_ibzi17_drc.fits
SDSS-J095944.07+041017.0,hst_skycell-p1449x10y03_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,2276.0,mast:HST/product/hst_skycell-p1449x10y03_wfc3_uvis_f390w_all_drc.fits
SDSS-J095944.07+041017.0,hst_skycell-p1359x03y20_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,2276.0,mast:HST/product/hst_skycell-p1359x03y20_wfc3_uvis_f390w_all_drc.fits
SDSS-J095944.07+041017.0,ibzi18010,12898,F390W,WFC3/UVIS,2276.0,mast:HST/product/ibzi18010_drz.fits
SDSS-J095944.07+041017.0,hst_12898_18_wfc3_uvis_f390w_ibzi18,12898,F390W,WFC3/UVIS,2276.0,mast:HST/product/hst_12898_18_wfc3_uvis_f390w_ibzi18_drc.fits
SDSS-J143004.10+410557.1,hst_skycell-p2198x10y07_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,4544.0,mast:HST/product/hst_skycell-p2198x10y07_wfc3_uvis_f390w_all_drc.fits
SDSS-J143004.10+410557.1,hst_skycell-p2198x09y07_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,4544.0,mast:HST/product/hst_skycell-p2198x09y07_wfc3_uvis_f390w_all_drc.fits
SDSS-J143004.10+410557.1,ibzi19010,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/ibzi19010_drz.fits
SDSS-J143004.10+410557.1,ibzi20010,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/ibzi20010_drz.fits
SDSS-J143004.10+410557.1,hst_12898_20_wfc3_uvis_f390w_ibzi20,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_20_wfc3_uvis_f390w_ibzi20_drc.fits
SDSS-J143004.10+410557.1,hst_12898_19_wfc3_uvis_f390w_ibzi19,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_19_wfc3_uvis_f390w_ibzi19_drc.fits
SDSS-J234111.57+000018.6,hst_skycell-p1321x14y20_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,4552.0,mast:HST/product/hst_skycell-p1321x14y20_wfc3_uvis_f390w_all_drc.fits
SDSS-J234111.57+000018.6,hst_skycell-p1411x14y02_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,4552.0,mast:HST/product/hst_skycell-p1411x14y02_wfc3_uvis_f390w_all_drc.fits
SDSS-J234111.57+000018.6,hst_skycell-p1321x14y19_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,4552.0,mast:HST/product/hst_skycell-p1321x14y19_wfc3_uvis_f390w_all_drc.fits
SDSS-J234111.57+000018.6,hst_skycell-p1411x14y03_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,4552.0,mast:HST/product/hst_skycell-p1411x14y03_wfc3_uvis_f390w_all_drc.fits
SDSS-J234111.57+000018.6,ibzi30010,12898,F390W,WFC3/UVIS,2276.0,mast:HST/product/ibzi30010_drz.fits
SDSS-J234111.57+000018.6,ibzi29010,12898,F390W,WFC3/UVIS,2276.0,mast:HST/product/ibzi29010_drz.fits
SDSS-J234111.57+000018.6,hst_12898_30_wfc3_uvis_f390w_ibzi30,12898,F390W,WFC3/UVIS,2276.0,mast:HST/product/hst_12898_30_wfc3_uvis_f390w_ibzi30_drc.fits
SDSS-J234111.57+000018.6,hst_12898_29_wfc3_uvis_f390w_ibzi29,12898,F390W,WFC3/UVIS,2276.0,mast:HST/product/hst_12898_29_wfc3_uvis_f390w_ibzi29_drc.fits
