lens,box,x0,y0,C390,C814,R,C814_gt_C390,n390,n814
J0252,1,50,50,,,,False,0,0
J0252,2,4849,50,,,,False,0,0
J0252,3,50,4832,,,,False,0,0
J0252,4,4849,4832,,,,False,0,0
J0252,5,2449,50,,,,False,0,0
J0252,6,2449,4832,,,,False,0,0
J0737,1,50,50,,,,False,0,0
J0737,2,4200,50,,,,False,0,0
J0737,3,50,5978,,0.9346536213832789,,False,0,4500
J0737,4,4200,5978,,,,False,0,0
J0737,5,2125,50,,,,False,0,0
J0737,6,2125,5978,,0.43056712503103783,,False,0,4500
J0903,1,50,50,,,,False,0,0
J0903,2,6895,50,,,,False,0,0
J0903,3,50,6126,,,,False,0,0
J0903,4,6895,6126,,,,False,0,0
J0903,5,3472,50,,,,False,0,0
J0903,6,3472,6126,,,,False,0,0
J0912,1,50,50,,,,False,0,0
J0912,2,4510,50,,,,False,0,0
J0912,3,50,4489,,,,False,0,0
J0912,4,4510,4489,,,,False,0,0
J0912,5,2280,50,,0.9964535291156131,,False,0,444
J0912,6,2280,4489,0.09211107185572247,,,False,4500,0
J0956,1,50,50,,,,False,0,0
J0956,2,6828,50,,,,False,0,0
J0956,3,50,7155,,,,False,0,0
J0956,4,6828,7155,,,,False,0,0
J0956,5,3439,50,,,,False,0,0
J0956,6,3439,7155,,,,False,0,0
J0959,1,50,50,,,,False,0,0
J0959,2,6599,50,,,,False,0,0
J0959,3,50,5867,,,,False,0,0
J0959,4,6599,5867,,,,False,0,0
J0959,5,3324,50,,,,False,0,0
J0959,6,3324,5867,,0.993470820404078,,False,0,1311
J1430,1,50,50,,0.9106926657677981,,False,0,4500
J1430,2,3799,50,,,,False,0,0
J1430,3,50,6555,,0.16855796710290571,,False,0,4500
J1430,4,3799,6555,,,,False,0,0
J1430,5,1924,50,,,,False,0,0
J1430,6,1924,6555,,,,False,0,0
J1630,1,50,50,,,,False,0,0
J1630,2,4662,50,,,,False,0,0
J1630,3,50,4857,,,,False,0,0
J1630,4,4662,4857,,,,False,0,0
J1630,5,2356,50,,,,False,0,0
J1630,6,2356,4857,,0.11685887871610648,,False,0,4500
J2341,1,50,50,,,,False,0,0
J2341,2,7895,50,,,,False,0,0
J2341,3,50,4740,,,,False,0,0
J2341,4,7895,4740,,,,False,0,0
J2341,5,3972,50,,0.5284688356587264,,False,0,4500
J2341,6,3972,4740,0.4767358770318667,0.30417682598477697,0.6380405600655994,False,4500,4500
J1627,1,50,50,0.9991474199392831,0.5447258928065574,0.5451907115365014,False,30,4500
J1627,2,3904,50,0.7406497122189478,0.10285866602690914,0.1388762654328859,False,4500,4500
J1627,3,50,3878,0.9985781320125497,0.06419245425995493,0.06428385741892872,False,369,4500
J1627,4,3904,3878,0.06175604258249246,0.9396096647302966,15.214861986585122,True,4500,4500
J1627,5,1977,50,0.8419230936987475,0.27698035733064513,0.32898534248990774,False,4500,4500
J1627,6,1977,3878,0.031516645277586186,0.23993761484159765,7.613044241489591,True,4500,4500
