lens,band,lambda,Ccontrast,Cdir,Astd,Npix,r_mean,phi_mean_rad,phi_mean_deg
J0252,F390W,390,0.1007888079352508,0.0465572735985116,0.9171636946091986,864,26.023251879339394,0.2804893273165175,16.070854653699964
J0252,F606W,606,0.2546293439433494,0.106643406167951,0.7794622134087983,861,27.50113937299595,1.42181301366754,81.46388493992647
J0252,F814W,814,0.2038474767864014,0.09509432653358,0.8559296913682037,861,20.54493881280355,-1.3357325527183443,-76.53183782899687
J0252,F160W,1600,0.5662685860749586,0.9959892230920488,0.0054497682428883,861,17.063579588464332,-2.4675394943773545,-141.37959880966756
J0737,F390W,390,0.158539591687627,0.0364214143401241,0.899964993606709,861,25.416583940643378,-1.031265376119196,-59.08715360960137
J0737,F435W,435,0.364544897467109,0.0423044610899613,0.7485673316428629,861,29.049035594208124,0.7246245488348928,41.51792837981077
J0737,F555W,555,0.204018539013141,0.1526053379922199,0.8410352478162972,861,24.46180737405495,-1.5710826448880046,-90.01640481833333
J0737,F814W,814,0.2331821257923595,0.2310503936111513,0.7989457112130909,861,23.23626533099149,-1.4629880551443692,-83.82304103782491
J0912,F390W,390,0.0424225378638973,0.0075424714924852,0.7278076931375623,864,31.624433721534785,0.3634519129476211,20.824260667854887
J0912,F435W,435,0.1868248665061567,0.0228060747481718,0.719942869457888,861,30.31533454124811,-0.4748566063987566,-27.20727942055368
J0912,F555W,555,0.2806338887983367,0.0178296175761525,0.7178413371184075,861,33.01438427947204,-1.4536709720846417,-83.28921150112969
J0912,F814W,814,0.0764619695047585,0.0499152495754921,0.7254876758409965,861,28.97629261496733,0.2780332412049176,15.930131285384595
J1630,F390W,390,0.1664795178404461,0.0724071458760411,0.7762141140522731,864,37.612072557248425,-1.3486685278936827,-77.27301461042977
J1630,F435W,435,0.1697310739238039,0.0659643786974568,0.7114568593074788,861,31.905096325160912,-1.737128285815975,-99.53011925005076
J1630,F555W,555,0.1933703807616663,0.6351349763278759,0.5739537156722011,861,19.78250318860237,-1.3471885136914028,-77.18821604301971
J1630,F814W,814,0.296140859382644,0.8942734856234916,0.3144678532062213,861,19.027305462444076,-1.2820199612985572,-73.45433303393247
