zHD,MU_SH0ES,MU_SH0ES_ERR_DIAG,c,USED_IN_SH0ES_HF,mu_lcdm,residual,cz,zbin
0.02343,34.8582,0.260273,0.00834,1,35.04623092467972,-0.1880309246797225,0.0001954062,"(0.0224, 0.0276]"
0.02343,34.8582,0.170636,-0.02851,1,35.04623092467972,-0.1880309246797225,-0.0006679893,"(0.0224, 0.0276]"
0.02344,34.8331,0.263771,0.028589,1,35.047173776261516,-0.21407377626151458,0.00067012616,"(0.0224, 0.0276]"
0.02352,34.8391,0.21588,-0.022127,1,35.054702380668985,-0.21560238066898307,-0.00052042704,"(0.0224, 0.0276]"
0.02357,35.0406,0.206572,-0.016581,1,35.059394982354064,-0.018794982354066292,-0.00039081417,"(0.0224, 0.0276]"
0.02357,34.9509,0.259128,0.044782,1,35.059394982354064,-0.10849498235406685,0.0010555117400000002,"(0.0224, 0.0276]"
0.02357,34.5715,0.261746,0.027298,1,35.059394982354064,-0.4878949823540637,0.00064341386,"(0.0224, 0.0276]"
0.02365,34.9543,0.274039,0.11405,1,35.06688282445473,-0.11258282445472645,0.0026972825000000002,"(0.0224, 0.0276]"
0.02369,34.943,0.2098,-0.093006,1,35.0706174116622,-0.1276174116622002,-0.00220331214,"(0.0224, 0.0276]"
0.02388,34.9949,0.180801,-0.015239,1,35.08827246089957,-0.09337246089956608,-0.00036390732,"(0.0224, 0.0276]"
0.02391,34.8993,0.190331,-0.11565,1,35.09104746984843,-0.19174746984842983,-0.0027651915000000003,"(0.0224, 0.0276]"
0.02411,35.1049,0.31033,-0.036617,1,35.109460524145774,-0.00456052414577357,-0.0008828358699999999,"(0.0224, 0.0276]"
0.02412,34.8782,0.224067,-0.004958,1,35.11037723125074,-0.23217723125073775,-0.00011958695999999999,"(0.0224, 0.0276]"
0.02417,34.9421,0.208286,-0.012123,1,35.11495517063903,-0.1728551706390249,-0.00029301291,"(0.0224, 0.0276]"
0.02417,35.084,0.183555,-0.068213,1,35.11495517063903,-0.030955170639025198,-0.0016487082099999998,"(0.0224, 0.0276]"
0.02432,34.9871,0.184147,-0.04336,1,35.12863335000421,-0.14153335000420952,-0.0010545152,"(0.0224, 0.0276]"
0.02432,34.953,0.198064,0.010966,1,35.12863335000421,-0.17563335000420466,0.00026669312000000004,"(0.0224, 0.0276]"
0.02432,35.2317,0.235205,-0.069691,1,35.12863335000421,0.10306664999578885,-0.00169488512,"(0.0224, 0.0276]"
0.02434,35.0102,0.201948,-0.060615,1,35.13045083954871,-0.12025083954871008,-0.0014753691,"(0.0224, 0.0276]"
0.02453,35.008,0.162015,-0.096976,1,35.1476441579232,-0.1396441579232004,-0.0023788212800000003,"(0.0224, 0.0276]"
0.02453,35.0746,0.209952,-0.087507,1,35.1476441579232,-0.0730441579232064,-0.00214654671,"(0.0224, 0.0276]"
0.02453,34.9493,0.170871,-0.070908,1,35.1476441579232,-0.19834415792320215,-0.00173937324,"(0.0224, 0.0276]"
0.02457,35.1784,0.189112,-0.125246,1,35.15124712452928,0.0271528754707262,-0.00307729422,"(0.0224, 0.0276]"
0.02466,34.8112,0.317595,0.09128,1,35.15933277131032,-0.3481327713103184,0.0022509648,"(0.0224, 0.0276]"
0.02491,35.0862,0.240547,0.032819,1,35.181641690842866,-0.09544169084286835,0.0008175212900000001,"(0.0224, 0.0276]"
0.02494,35.1973,0.228493,-0.128297,1,35.18430396607489,0.012996033925105621,-0.00319972718,"(0.0224, 0.0276]"
0.02509,35.2152,0.268527,0.037954,1,35.19756833088863,0.017631669111374038,0.0009522658600000001,"(0.0224, 0.0276]"
