lens,band,proposal,date_obs,source,mjd,Cdir_mean,Cdir_std,n_files
J0252,F160W,11202,2009-11-05,multiband,55140.50295548,0.8093705675416286,,1
J0252,F390W,12898,2013-08-25,multiband,56529.82681131,0.1409832043013928,,1
J0737,F390W,12898,2013-01-27,multiband,56318.57429487,0.003772278385983432,,1
J0737,F814W,10174,2004-09-21,mast_epoch,53269.22543779,0.11425286886185643,3.691817276570361e-12,2
J0737,F814W,10494,2006-11-05,mast_epoch,54044.851759056,0.13395801095857757,0.06559115685516437,5
J0912,F390W,12898,2013-05-07,multiband,56419.69124184,0.4339447941176529,,1
J0912,F814W,10174,2004-10-12,mast_epoch,53290.96167635,0.10572738899020781,0.0,2
J0912,F814W,10494,2005-11-05,mast_epoch,53679.467598895,0.16020258663537557,0.09138782187445725,4
J0912,F814W,10494,2006-11-25,mast_epoch,54064.618324357994,0.11933141823593665,0.0706278165513256,5
J0956,F160W,10494,2006-11-01,multiband,54040.91438443,0.07991767711872046,,1
J0956,F390W,12898,2013-09-16,multiband,56551.0411638,0.040809118711755805,,1
J0956,F814W,10174,2004-10-30,mast_epoch,53308.6841198,0.13743063820447118,0.0,2
J0956,F814W,10494,2006-11-01,mast_epoch,54040.862874908,0.14299246180499256,0.07210206123585211,5
J0959,F160W,10494,2005-11-07,multiband,53681.79583127,0.8683981599537658,,1
J0959,F390W,12898,2013-06-07,multiband,56450.17614983,0.005697957305826051,,1
J0959,F814W,10174,2004-10-19,mast_epoch,53297.89284684,0.28216368236274536,0.0,2
J1430,F160W,11202,2010-07-10,multiband,55387.46066889,0.1925158163802838,,1
J1430,F390W,12898,2013-05-05,multiband,56414.97956369,0.019096699704922768,,1
J1627,F390W,12898,2013-06-16,multiband,56459.63097612,0.1051990346940168,0.10520908019745719,2
J2341,F160W,11202,2008-07-20,multiband,54667.8993134,0.8444456174344034,,1
J2341,F390W,12898,2013-06-05,multiband,56440.2635802,0.009895341953364943,,1
