lens,band,file,date_obs,mjd,proposal,Cdir,n_pix,source
J0252,F160W,data/J0252_multiband/F160W.fits,2009-11-05,55140.50295548,11202,0.8093705675416286,7998,local_multiband
J0252,F390W,data/J0252_multiband/F390W.fits,2013-08-25,56529.82681131,12898,0.1409832043013928,7509,local_multiband
J0252,F814W,data/J0252_multiband/F814W.fits,2006-10-02,54010.79328889,10886,0.13865873594113537,7859,local_multiband
J0737,F390W,data/J0737_multiband_alt/F390W.fits,2013-01-27,56318.57429487,12898,0.003772278385983432,7542,local_multiband
J0737,F814W,data/J0737_multiband_alt/F814W.fits,2004-09-21,53269.22543779,10174,0.15328314279629915,7395,local_multiband
J0737,F814W,data/mast_f814w_epochs/J0737/mastDownload/HST/hst_10174_40_acs_wfc_f814w_j93i40/hst_10174_40_acs_wfc_f814w_j93i40_drc.fits,2004-09-21,53269.22543779,10174,0.11425286885924592,7243,mast_f814w_epoch
J0737,F814W,data/mast_f814w_epochs/J0737/mastDownload/HST/hst_10174_40_acs_wfc_f814w_j93i40gz/hst_10174_40_acs_wfc_f814w_j93i40gz_drc.fits,2004-09-21,53269.22543779,10174,0.11425286886446694,7243,mast_f814w_epoch
J0737,F814W,data/mast_f814w_epochs/J0737/mastDownload/HST/hst_10494_03_acs_wfc_f814w_j9c703/hst_10494_03_acs_wfc_f814w_j9c703_drc.fits,2006-11-05,54044.8417035,10494,0.1648006963977879,8004,mast_f814w_epoch
J0737,F814W,data/mast_f814w_epochs/J0737/mastDownload/HST/hst_10494_03_acs_wfc_f814w_j9c703y3/hst_10494_03_acs_wfc_f814w_j9c703y3_drc.fits,2006-11-05,54044.8417035,10494,0.13876913097894203,7800,mast_f814w_epoch
J0737,F814W,data/mast_f814w_epochs/J0737/mastDownload/HST/hst_10494_03_acs_wfc_f814w_j9c703y5/hst_10494_03_acs_wfc_f814w_j9c703y5_drc.fits,2006-11-05,54044.85008313,10494,0.11470489111938575,6772,mast_f814w_epoch
J0737,F814W,data/mast_f814w_epochs/J0737/mastDownload/HST/hst_10494_03_acs_wfc_f814w_j9c703y7/hst_10494_03_acs_wfc_f814w_j9c703y7_drc.fits,2006-11-05,54044.85846276,10494,0.21444026915188358,5948,mast_f814w_epoch
J0737,F814W,data/mast_f814w_epochs/J0737/mastDownload/HST/hst_10494_03_acs_wfc_f814w_j9c703y9/hst_10494_03_acs_wfc_f814w_j9c703y9_drc.fits,2006-11-05,54044.86684239,10494,0.03707506714488857,7823,mast_f814w_epoch
J0912,F390W,data/J0912_multiband/F390W.fits,2013-05-07,56419.69124184,12898,0.4339447941176529,7516,local_multiband
J0912,F814W,data/J0912_multiband/F814W.fits,2004-10-12,53290.96167635,10174,0.10572738899020781,7563,local_multiband
J0912,F814W,data/mast_f814w_epochs/J0912/mastDownload/HST/hst_10174_43_acs_wfc_f814w_j93i43/hst_10174_43_acs_wfc_f814w_j93i43_drc.fits,2004-10-12,53290.96167635,10174,0.10572738899020781,7563,mast_f814w_epoch
J0912,F814W,data/mast_f814w_epochs/J0912/mastDownload/HST/hst_10174_43_acs_wfc_f814w_j93i43il/hst_10174_43_acs_wfc_f814w_j93i43il_drc.fits,2004-10-12,53290.96167635,10174,0.10572738899020781,7563,mast_f814w_epoch
J0912,F814W,data/mast_f814w_epochs/J0912/mastDownload/HST/hst_10494_02_acs_wfc_f814w_j9c702/hst_10494_02_acs_wfc_f814w_j9c702_drc.fits,2005-11-05,53679.46141834,10494,0.057442107181073676,7844,mast_f814w_epoch
J0912,F814W,data/mast_f814w_epochs/J0912/mastDownload/HST/hst_10494_02_acs_wfc_f814w_j9c702bi/hst_10494_02_acs_wfc_f814w_j9c702bi_drc.fits,2005-11-05,53679.46141834,10494,0.23788764622077094,7662,mast_f814w_epoch
J0912,F814W,data/mast_f814w_epochs/J0912/mastDownload/HST/hst_10494_02_acs_wfc_f814w_j9c702bk/hst_10494_02_acs_wfc_f814w_j9c702bk_drc.fits,2005-11-05,53679.46965908,10494,0.23656086143573699,5786,mast_f814w_epoch
J0912,F814W,data/mast_f814w_epochs/J0912/mastDownload/HST/hst_10494_02_acs_wfc_f814w_j9c702bm/hst_10494_02_acs_wfc_f814w_j9c702bm_drc.fits,2005-11-05,53679.47789982,10494,0.10891973170392065,7722,mast_f814w_epoch
J0912,F814W,data/mast_f814w_epochs/J0912/mastDownload/HST/hst_10494_52_acs_wfc_f814w_j9c752/hst_10494_52_acs_wfc_f814w_j9c752_drc.fits,2006-11-25,54064.58818547,10494,0.15519835888578706,7942,mast_f814w_epoch
J0912,F814W,data/mast_f814w_epochs/J0912/mastDownload/HST/hst_10494_52_acs_wfc_f814w_j9c752xw/hst_10494_52_acs_wfc_f814w_j9c752xw_drc.fits,2006-11-25,54064.58818547,10494,0.19086804777487243,7766,mast_f814w_epoch
J0912,F814W,data/mast_f814w_epochs/J0912/mastDownload/HST/hst_10494_52_acs_wfc_f814w_j9c752xy/hst_10494_52_acs_wfc_f814w_j9c752xy_drc.fits,2006-11-25,54064.63017621,10494,0.043607230749911144,7793,mast_f814w_epoch
J0912,F814W,data/mast_f814w_epochs/J0912/mastDownload/HST/hst_10494_52_acs_wfc_f814w_j9c752y0/hst_10494_52_acs_wfc_f814w_j9c752y0_drc.fits,2006-11-25,54064.63841695,10494,0.04302155708478124,7793,mast_f814w_epoch
J0912,F814W,data/mast_f814w_epochs/J0912/mastDownload/HST/hst_10494_52_acs_wfc_f814w_j9c752y2/hst_10494_52_acs_wfc_f814w_j9c752y2_drc.fits,2006-11-25,54064.64665769,10494,0.1639618966843314,7416,mast_f814w_epoch
J0956,F160W,data/J0956_multiband/F160W.fits,2006-11-01,54040.91438443,10494,0.07991767711872046,7169,local_multiband
J0956,F390W,data/J0956_multiband/F390W.fits,2013-09-16,56551.0411638,12898,0.040809118711755805,7534,local_multiband
J0956,F814W,data/J0956_multiband/F814W.fits,2004-10-30,53308.6841198,10174,0.05754671876818062,7371,local_multiband
J0956,F814W,data/mast_f814w_epochs/J0956/mastDownload/HST/hst_10174_45_acs_wfc_f814w_j93i45/hst_10174_45_acs_wfc_f814w_j93i45_drc.fits,2004-10-30,53308.6841198,10174,0.13743063820447118,7988,mast_f814w_epoch
J0956,F814W,data/mast_f814w_epochs/J0956/mastDownload/HST/hst_10174_45_acs_wfc_f814w_j93i45m5/hst_10174_45_acs_wfc_f814w_j93i45m5_drc.fits,2004-10-30,53308.6841198,10174,0.13743063820447118,7988,mast_f814w_epoch
J0956,F814W,data/mast_f814w_epochs/J0956/mastDownload/HST/hst_10494_14_acs_wfc_f814w_j9c714/hst_10494_14_acs_wfc_f814w_j9c714_drc.fits,2006-11-01,54040.85223609,10494,0.16170339446810136,7632,mast_f814w_epoch
J0956,F814W,data/mast_f814w_epochs/J0956/mastDownload/HST/hst_10494_14_acs_wfc_f814w_j9c714js/hst_10494_14_acs_wfc_f814w_j9c714js_drc.fits,2006-11-01,54040.85223609,10494,0.13819421896614603,7303,mast_f814w_epoch
J0956,F814W,data/mast_f814w_epochs/J0956/mastDownload/HST/hst_10494_14_acs_wfc_f814w_j9c714ju/hst_10494_14_acs_wfc_f814w_j9c714ju_drc.fits,2006-11-01,54040.86110165,10494,0.2411526772619288,4858,mast_f814w_epoch
J0956,F814W,data/mast_f814w_epochs/J0956/mastDownload/HST/hst_10494_14_acs_wfc_f814w_j9c714jw/hst_10494_14_acs_wfc_f814w_j9c714jw_drc.fits,2006-11-01,54040.86996758,10494,0.13442237017265862,7338,mast_f814w_epoch
J0956,F814W,data/mast_f814w_epochs/J0956/mastDownload/HST/hst_10494_14_acs_wfc_f814w_j9c714jy/hst_10494_14_acs_wfc_f814w_j9c714jy_drc.fits,2006-11-01,54040.87883313,10494,0.03948964815612797,8022,mast_f814w_epoch
J0959,F160W,data/J0959_multiband/F160W.fits,2005-11-07,53681.79583127,10494,0.8683981599537658,7173,local_multiband
