lens,filter,path,C_dir,DATE_OBS,MJD_OBS,NAXIS1,NAXIS2,CTYPE1,CTYPE2,has_sip,error
J0252,F160W,data/J0252_multiband/F160W.fits,0.04524526991697423,,,1448.0,1419.0,RA---TAN,DEC--TAN,False,
J0252,F390W,data/J0252_multiband/F390W.fits,0.2820832138686541,,,5452.0,5287.0,RA---TAN,DEC--TAN,False,
J0252,F814W,data/J0252_multiband/F814W.fits,0.6950285342870544,,,5199.0,5182.0,RA---TAN,DEC--TAN,False,
J0737,F390W,data/J0737_multiband_alt/F390W.fits,0.2284133261065901,,,4550.0,6328.0,RA---TAN,DEC--TAN,False,
J0737,F814W,data/J0737_multiband_alt/F814W.fits,0.10054577317932108,,,4550.0,6328.0,RA---TAN,DEC--TAN,False,
J0903,F160W,data/J0903_multiband/F160W.fits,,,,,,,,False,"cannot reshape array of size 32209328 into shape (6474,7245)"
J0903,F390W,data/J0903_multiband/F390W.fits,0.02182567498424274,,,7245.0,6476.0,RA---TAN,DEC--TAN,False,
J0903,F814W,data/J0903_multiband/F814W.fits,0.013191891090070547,,,7245.0,6476.0,RA---TAN,DEC--TAN,False,
J0912,F390W,data/J0912_multiband/F390W.fits,0.024939729227985787,,,5559.0,5690.0,RA---TAN,DEC--TAN,False,
J0912,F814W,data/J0912_multiband/F814W.fits,0.09931021665578109,,,4860.0,4839.0,RA---TAN,DEC--TAN,False,
J0956,F160W,data/J0956_multiband/F160W.fits,0.006098681876057423,,,315.0,312.0,RA---TAN,DEC--TAN,False,
J0956,F390W,data/J0956_multiband/F390W.fits,0.012564957855432697,,,7178.0,7505.0,RA---TAN,DEC--TAN,False,
J0956,F814W,data/J0956_multiband/F814W.fits,0.08775210087517596,,,7178.0,7505.0,RA---TAN,DEC--TAN,False,
J0959,F160W,data/J0959_multiband/F160W.fits,0.01562595285628695,,,650.0,650.0,RA---TAN,DEC--TAN,False,
J0959,F390W,data/J0959_multiband/F390W.fits,0.022872243997198855,,,6958.0,6224.0,RA---TAN,DEC--TAN,False,
J0959,F814W,data/J0959_multiband/F814W.fits,0.02231998518258799,,,6949.0,6217.0,RA---TAN,DEC--TAN,False,
J1430,F160W,data/J1430_multiband/F160W.fits,0.030785527786519887,,,4149.0,6904.0,RA---TAN,DEC--TAN,False,
J1430,F390W,data/J1430_multiband/F390W.fits,0.007295036756110949,,,4149.0,6905.0,RA---TAN,DEC--TAN,False,
J1430,F814W,data/J1430_multiband/F814W.fits,0.018809624125429053,,,4149.0,6905.0,RA---TAN,DEC--TAN,False,
J1630,F390W,data/J1630_multiband/F390W.fits,0.018642376213400418,,,5012.0,5207.0,RA---TAN,DEC--TAN,False,
J1630,F814W,data/J1630_multiband/F814W.fits,0.06837718686599761,,,5730.0,5719.0,RA---TAN,DEC--TAN,False,
J2341,F160W,data/J2341_multiband/F160W.fits,0.03136469656544451,,,580.0,580.0,RA---TAN,DEC--TAN,True,
J2341,F390W,data/J2341_multiband/F390W.fits,0.01462939057574775,,,8245.0,5090.0,RA---TAN,DEC--TAN,False,
J2341,F814W,data/J2341_multiband/F814W.fits,0.06819160211971789,,,8245.0,5090.0,RA---TAN,DEC--TAN,False,
